location,art_abs_freq,nouns,tokens,art_norm,transcript,LATITUDE,LONGITUDE,Altitude,DIST_Bul,DIST_city
Aldinac,10,831,4507,12.03369434,TOR_C_0051,43.5428714,22.4199196,623,4.42,16.44
Balanovac,12,1795,12604,6.685236769,TOR_C_0043,43.5899277,22.133674,327,25.81,7.04
Balinac,70,2249,13104,31.12494442,TOR_C_0003,43.5646192,22.3557611,605,7.45,11.58
Balta Berilovac,20,569,3478,35.14938489,TOR_C_0075,43.395682,22.458715,419,9.85,27
Borovac,2,1089,7872,1.836547291,TOR_C_0080,43.7382209,22.0093976,199,7.99,18.68
Bučje,38,2645,14593,14.36672968,TOR_C_0024,43.6785311,22.0925613,514,20,16.05
Bulinovac,0,497,2661,0,TOR_C_0081,43.603389,22.1680926,334,24.3,6.97
Crni Vrh,64,1531,9398,41.80274331,TOR_C_0054,43.4024789,22.5246562,729,3.63,32.05
Ćuštica,37,618,3357,59.87055016,TOR_C_0004,43.3569832,22.471588,794,10.02,33.74
Debelica,0,696,3998,0,TOR_C_0047,43.6563506,22.2290753,247,13.12,10.8
Donja Kamenica,59,1699,12319,34.72630959,TOR_C_0041,43.4765163,22.284736,281,14.77,10.35
Drečinovac,1,646,3872,1.547987616,TOR_C_0018,43.6247517,22.1785641,315,23.25,8.14
Drenovac,29,1439,10077,20.15288395,TOR_C_0088,43.693333,22.271111,206,10.89,14.18
Drvnik,50,1096,6591,45.62043796,TOR_C_0002,43.5380928,22.373743,543,7.92,11.96
Gabrovnica,9,584,3739,15.4109589,TOR_C_0058,43.4510139,22.3809402,376,9.47,19.77
Glogovac,0,823,4430,0,TOR_C_0071,43.5657135,22.1901511,304,23.27,4.39
Gornja Sokolovica,94,1396,7231,67.33524355,TOR_C_0019,43.5208244,22.3176096,305,13.23,8.34
Gornje Zuniče,4,649,4366,6.163328197,TOR_C_0005,43.6040111,22.2726774,235,16.43,4.13
Gradište,7,542,3499,12.91512915,TOR_C_0073,43.525366,22.3472212,352,11.16,10.41
Grlište,1,762,5527,1.312335958,TOR_C_0026,43.811509,22.2213931,177,9.17,15.5
Guševac,1,781,5035,1.280409731,TOR_C_0059,43.3907006,22.2558546,521,23.66,19.56
Inovo,4,1701,9741,2.351557907,TOR_C_0029,43.4128949,22.4115079,373,23.27,10.7
Jakovac,28,1864,8815,15.02145923,TOR_C_0030,43.6396024,22.3007863,264,8.9,11.73
Jalovik Izvor,11,781,4766,14.08450704,TOR_C_0042,43.3885095,22.3518556,628,15.92,21.71
Janja,120,2187,13206,54.8696845,TOR_C_0065,43.4143799,22.5019092,509,6.46,27.41
Jelašnica,70,939,6141,74.54739084,TOR_C_0009,43.6372203,22.2849081,259,11.24,8.55
Kandalica,10,405,2978,24.69135802,TOR_C_0027,43.5448132,22.3091554,388,12.74,7.84
Knjaževac,0,1368,8322,0,TOR_C_0095,43.5685949,22.2146125,234,19.23,0.01
Krenta,0,994,5630,0,TOR_C_0061,43.4796333,22.2175307,642,21.04,9.73
Lepena,31,3127,18429,9.913655261,TOR_C_0010,43.6516231,22.1690631,315,17.35,9.05
Leskovac,0,434,2855,0,TOR_C_0074,42.9976011,22.1721277,204,12.61,26.75
Lokva,15,781,5343,19.20614597,TOR_C_0076,43.5850474,22.1935821,525,12.99,6.48
Mali Izvor,32,1923,11734,16.64066563,TOR_C_0020,43.7367708,22.3332087,205,5.99,18.24
Marinovac,1,1316,7871,0.759878419,TOR_C_0046,43.7289829,22.1742719,464,15,20
Minićevo,67,2065,12034,32.44552058,TOR_C_0045,43.6899103,22.2722911,194,9.25,13.66
Orešac,1,1191,6969,0.839630563,TOR_C_0062,43.5227211,22.1744441,342,24.19,6.25
Ošljane,7,2325,14145,3.010752688,TOR_C_0001,43.6619403,22.3198824,520,3.06,16.11
Petruša,4,831,4653,4.813477738,TOR_C_0064,43.6451933,22.3207421,243,7.59,12.56
Ponor,5,2255,15988,2.2172949,TOR_C_0034,43.4981271,22.1893781,510,21.73,7.73
Pričevac,43,755,5095,56.95364238,TOR_C_0052,43.4948949,22.3704814,471,10.48,12.82
Radičevac,12,1040,6553,11.53846154,TOR_C_0066,43.5878704,22.4054141,591,13.37,5.64
Ravno Bučje,28,221,1423,126.6968326,TOR_C_0021,43.440357,22.5416277,900,1.04,28.9
Rgošte,3,683,3568,4.39238653,TOR_C_0067,43.5421972,22.1922969,260,22.66,4.16
Šarbanovac,2,633,3465,3.159557662,TOR_C_0048,43.599566,22.3428224,229,25.38,10
Sastavak,0,638,3704,0,TOR_C_0035,43.589157,22.2004509,275,22.6,4.6
Selačka,1,1536,9751,0.651041667,TOR_C_0083,43.7048679,22.31416,288,6.37,16.23
Šesti Gabar,15,1377,7853,10.89324619,TOR_C_0023,43.4286652,22.3310848,678,15.43,18.51
Stara Kalna,13,1021,5613,12.73261508,TOR_C_0069,43.4218071,22.3796648,403,14.94,20.72
Staro Korito,40,663,3795,60.33182504,TOR_C_0079,43.553737,22.3410441,423,10.86,8.98
Štipina,13,1470,10109,8.843537415,TOR_C_0050,43.6044134,22.2263716,223,18.4,3.51
Tijovac,1,718,4134,1.39275766,TOR_C_0017,43.4605466,22.2029399,633,25.94,12.69
Trgovište,94,1673,9131,56.18649133,TOR_C_0096,43.5559776,22.2689437,230,16.56,2.62
Trnovac,5,1001,7065,4.995004995,TOR_C_0008,43.6778332,22.2371434,225,11.83,12.56
Vasilj,4,1700,10075,2.352941176,TOR_C_0016,43.5656435,22.1043201,415,26.75,7.51
Vlahovo,58,3369,21234,17.21579104,TOR_C_0053,43.4221232,22.2966871,568,17.39,17.1
Vrbica,7,1021,6352,6.856023506,TOR_C_0070,43.715833,22.264444,213,10.35,16.73
Žlne,0,497,2405,0,TOR_C_0015,43.5217533,22.2310065,320,20.28,5.1
Zorunovac,0,492,3107,0,TOR_C_0082,43.622745,22.0874547,527,25.83,12.75
Žukovac,10,891,6125,11.22334456,TOR_C_0012,43.5303452,22.2819041,274,15.57,5.89

